Description,Category
AWS Subscription,Software
Google Workspace,Software
OpenAI API Charges,Software
Cursor Subscription,Software
Claude Subscription,Software
Figma Subscription,Software
Notion Subscription,Software
DigitalOcean Hosting,Software
VPS Hosting Charges,Software
Domain Renewal,Software
SSL Certificate Renewal,Software
Software Maintenance Fee,Software
GST Payment,GST
CGST Payment,GST
SGST Payment,GST
IGST Payment,GST
GST Challan,GST
GST Liability Payment,GST
GST Return Filing,GST
Tax Payment GST,GST
GST Expense,GST
GST Settlement,GST
GST Interest Payment,GST
GST Late Fee,GST
GST Demand Payment,GST
GST Adjustment,GST
GST Refund Processing,GST
GST Filing Charges,GST
GST Portal Payment,GST
GST Penalty,GST
GST Reconciliation Expense,GST
GST Assessment Payment,GST
Bank Charges,Bank Charges
ATM Charges,Bank Charges
Cheque Bounce Charges,Bank Charges
Processing Charges,Bank Charges
Account Maintenance Charges,Bank Charges
RTGS Charges,Bank Charges
NEFT Charges,Bank Charges
Bank Service Fee,Bank Charges
Transaction Charges,Bank Charges
Bank Penalty,Bank Charges
Bank SMS Charges,Bank Charges
Debit Card Annual Fee,Bank Charges
Credit Card Charges,Bank Charges
Bank Processing Fee,Bank Charges
Account Statement Charges,Bank Charges
Cash Deposit Charges,Bank Charges
Cheque Book Charges,Bank Charges
Bank Documentation Charges,Bank Charges
Online Banking Charges,Bank Charges
Bank Transaction Fee,Bank Charges
Vendor Payment,Vendor Payment
Supplier Payment,Vendor Payment
Raw Material Purchase,Vendor Payment
Vendor Settlement,Vendor Payment
Purchase Invoice Payment,Vendor Payment
Contractor Invoice Payment,Vendor Payment
Supplier Transfer,Vendor Payment
Vendor Advance,Vendor Payment
Vendor Bill Payment,Vendor Payment
Material Purchase Expense,Vendor Payment
Health Insurance Premium,Insurance
Vehicle Insurance,Insurance
Office Insurance,Insurance
Group Insurance Policy,Insurance
Professional Liability Insurance,Insurance
Fire Insurance Premium,Insurance
Business Insurance,Insurance
Employee Insurance,Insurance
Insurance Renewal,Insurance
Insurance Claim Charges,Insurance
Airtel Google Ads Rs 66529,Marketing
Tata CGST Payment Rs 43150,GST
Amazon Laptop Purchase Rs 42163,Office Expense
Amazon CA Fees Rs 12550,Professional Fees
Ola Payroll Processing Rs 39017,Payroll
AWS Property Rent Rs 93837,Rent
Ola GitHub Subscription Rs 37916,Software
Microsoft Taxi Fare Rs 77314,Travel
OpenAI Bonus Payment Rs 61584,Payroll
Amazon Hotel Stay Rs 73618,Travel
Flipkart Water Bill Rs 62128,Utilities
Adobe Facebook Ads Rs 61288,Marketing
Reliance AWS Hosting Rs 38229,Software
Uber Staff Salary Rs 15454,Payroll
Reliance SGST Payment Rs 60327,GST
BSNL Health Insurance Rs 49416,Insurance
Jio Salary Payment Rs 6206,Payroll
Amazon Vehicle Insurance Rs 10261,Insurance
Tata Vehicle Loan EMI Rs 3536,Loan Payment
Adobe Property Rent Rs 1345,Rent
Flipkart TDS Deposit Rs 77528,TDS Payment
Adobe GST Payment Rs 64134,GST
Flipkart Bank Loan EMI Rs 72670,Loan Payment
Microsoft Salary Payment Rs 35604,Payroll
Jio Salary Payment Rs 9259,Payroll
Amazon Payroll Processing Rs 50855,Payroll
Infosys TDS Payment Rs 81127,TDS Payment
Uber Taxi Fare Rs 70465,Travel
Reliance ChatGPT Subscription Rs 19395,Software
Infosys Staff Salary Rs 54291,Payroll
Infosys Flight Ticket Rs 41460,Travel
Jio Facebook Ads Rs 6672,Marketing
OpenAI Office Maintenance Rs 52270,Office Expense
Infosys Mobile Recharge Rs 73411,Utilities
Infosys Business Loan EMI Rs 88405,Loan Payment
Ola CA Fees Rs 34626,Professional Fees
OpenAI NEFT Charges Rs 86875,Bank Charges
Infosys Bonus Payment Rs 38366,Payroll
Uber SGST Payment Rs 69209,GST
Microsoft CA Fees Rs 42138,Professional Fees
Google Bank Service Fee Rs 48868,Bank Charges
Microsoft Business Loan EMI Rs 14967,Loan Payment
Infosys Commercial Rent Rs 1429,Rent
BSNL Supplier Payment Rs 86874,Vendor Payment
Ola AWS Hosting Rs 86454,Software
Airtel CA Fees Rs 59303,Professional Fees
Flipkart Office Insurance Rs 97476,Insurance
Infosys Office Maintenance Rs 50717,Office Expense
Jio CGST Payment Rs 18063,GST
Ola Google Workspace Rs 18062,Software
Ola GST Payment Rs 84349,GST
OpenAI Office Insurance Rs 35127,Insurance
Amazon RTGS Charges Rs 88793,Bank Charges
Infosys Facebook Ads Rs 21374,Marketing
OpenAI Flight Ticket Rs 7498,Travel
Adobe TDS Challan Rs 77381,TDS Payment
Reliance Vehicle Loan EMI Rs 45169,Loan Payment
Tata TDS Challan Rs 79424,TDS Payment
Amazon Google Ads Rs 61499,Marketing
Tata Property Rent Rs 24847,Rent
Jio Business Loan EMI Rs 15513,Loan Payment
AWS Google Workspace Rs 90020,Software
Airtel Bank Loan EMI Rs 94766,Loan Payment
Jio Flight Ticket Rs 94980,Travel
Airtel Marketing Campaign Rs 24134,Marketing
Tata TDS Payment Rs 66112,TDS Payment
Reliance IGST Payment Rs 60672,GST
Infosys Internet Bill Rs 7895,Utilities
Airtel Marketing Campaign Rs 24078,Marketing
Ola TDS Challan Rs 56959,TDS Payment
Airtel Marketing Campaign Rs 13921,Marketing
Tata ATM Charges Rs 54611,Bank Charges
AWS Bank Service Fee Rs 82489,Bank Charges
Infosys Consulting Charges Rs 12749,Professional Fees
Microsoft Electricity Bill Rs 49818,Utilities
OpenAI Warehouse Rent Rs 54838,Rent
Airtel Mobile Recharge Rs 39161,Utilities
Microsoft Hotel Stay Rs 96198,Travel
Microsoft Google Ads Rs 13264,Marketing
Jio Broadband Payment Rs 44075,Utilities
OpenAI Train Ticket Rs 802,Travel
AWS Electricity Bill Rs 25471,Utilities
Ola Stationery Purchase Rs 18378,Office Expense
Google Stationery Purchase Rs 59964,Office Expense
OpenAI Vehicle Loan EMI Rs 16813,Loan Payment
Microsoft TDS Deposit Rs 78021,TDS Payment
Amazon Salary Payment Rs 45981,Payroll
Tata Vendor Payment Rs 76664,Vendor Payment
Jio Instagram Ads Rs 86189,Marketing
Reliance CGST Payment Rs 22332,GST
Reliance Bonus Payment Rs 85170,Payroll
Airtel TDS Payment Rs 81373,TDS Payment
Flipkart Warehouse Rent Rs 70846,Rent
AWS GitHub Subscription Rs 85121,Software
Reliance Contractor Invoice Rs 96106,Vendor Payment
Airtel GST Payment Rs 7041,GST
Ola Commercial Rent Rs 40815,Rent
Jio Payroll Processing Rs 79299,Payroll
Uber Business Loan EMI Rs 22214,Loan Payment
Amazon SEO Charges Rs 56897,Marketing
AWS TDS Payment Rs 8440,TDS Payment
Infosys Bank Loan EMI Rs 86876,Loan Payment
Amazon Vehicle Loan EMI Rs 71741,Loan Payment
Tata AWS Hosting Rs 19240,Software
Reliance Laptop Purchase Rs 34133,Office Expense
Uber Train Ticket Rs 60575,Travel
Google Accounting Services Rs 20245,Professional Fees
Airtel RTGS Charges Rs 50822,Bank Charges
Jio Contractor Invoice Rs 18579,Vendor Payment
BSNL IGST Payment Rs 63194,GST
Google Business Insurance Rs 48695,Insurance
Infosys Accounting Services Rs 7358,Professional Fees
Adobe CA Fees Rs 37623,Professional Fees
BSNL Office Rent Rs 76161,Rent
OpenAI Commercial Rent Rs 84313,Rent
AWS Bonus Payment Rs 65140,Payroll
Flipkart Taxi Fare Rs 37051,Travel
Airtel Contractor Invoice Rs 5297,Vendor Payment
Flipkart Raw Material Purchase Rs 51535,Vendor Payment
Google Zoom Subscription Rs 94256,Software
Infosys Warehouse Rent Rs 57319,Rent
Jio Water Bill Rs 46692,Utilities
Uber Cab Booking Rs 79335,Travel
BSNL Contractor Invoice Rs 4442,Vendor Payment
Uber GitHub Subscription Rs 11792,Software
Flipkart Train Ticket Rs 83503,Travel
Reliance Business Loan EMI Rs 39079,Loan Payment
OpenAI GST Payment Rs 72402,GST
Flipkart IGST Payment Rs 22585,GST
Tata CGST Payment Rs 40815,GST
Uber Internet Bill Rs 61938,Utilities
Airtel Bank Loan EMI Rs 23805,Loan Payment
Airtel Salary Payment Rs 38573,Payroll
AWS Water Bill Rs 44720,Utilities
Airtel Zoom Subscription Rs 90440,Software
Ola Accounting Services Rs 20526,Professional Fees
Jio Internet Bill Rs 18635,Utilities
Infosys Bonus Payment Rs 15923,Payroll
BSNL Instagram Ads Rs 62789,Marketing
Microsoft Raw Material Purchase Rs 94457,Vendor Payment
Google Business Loan EMI Rs 75609,Loan Payment
Google ATM Charges Rs 8848,Bank Charges
Amazon GST Payment Rs 47029,GST
Google Water Bill Rs 28977,Utilities
Airtel Vehicle Loan EMI Rs 31123,Loan Payment
OpenAI Hotel Stay Rs 12734,Travel
Jio TDS Payment Rs 35687,TDS Payment
Google CA Fees Rs 56773,Professional Fees
Reliance Vehicle Loan EMI Rs 52625,Loan Payment
Ola SGST Payment Rs 71353,GST
Ola Supplier Payment Rs 48013,Vendor Payment
OpenAI AWS Hosting Rs 28023,Software
Uber Raw Material Purchase Rs 2829,Vendor Payment
Airtel TDS Challan Rs 13273,TDS Payment
Microsoft Facebook Ads Rs 75168,Marketing
AWS Accounting Services Rs 16097,Professional Fees
Google Business Loan EMI Rs 85204,Loan Payment
OpenAI Business Loan EMI Rs 50617,Loan Payment
Adobe Staff Salary Rs 77999,Payroll
OpenAI Health Insurance Rs 47160,Insurance
Infosys Business Loan EMI Rs 61898,Loan Payment
Amazon Warehouse Rent Rs 5346,Rent
Airtel Health Insurance Rs 82263,Insurance
Jio Health Insurance Rs 83210,Insurance
BSNL Office Insurance Rs 69381,Insurance
Reliance Facebook Ads Rs 98541,Marketing
Adobe SGST Payment Rs 17334,GST
Ola Mobile Recharge Rs 45550,Utilities
Adobe Water Bill Rs 47305,Utilities
Adobe Accounting Services Rs 13250,Professional Fees
Microsoft Business Insurance Rs 60559,Insurance
Infosys Google Ads Rs 74752,Marketing
Infosys GST Payment Rs 988,GST
AWS Stationery Purchase Rs 56392,Office Expense
AWS Business Loan EMI Rs 90193,Loan Payment
Adobe IGST Payment Rs 65586,GST
Adobe Flight Ticket Rs 45459,Travel
Microsoft Cab Booking Rs 78208,Travel
Infosys CA Fees Rs 46007,Professional Fees
Reliance GitHub Subscription Rs 53799,Software
OpenAI Google Ads Rs 68539,Marketing
Flipkart SGST Payment Rs 81656,GST
Infosys NEFT Charges Rs 43909,Bank Charges
Microsoft Cab Booking Rs 51081,Travel
Microsoft Mobile Recharge Rs 36227,Utilities
Flipkart Staff Salary Rs 65107,Payroll
OpenAI Salary Payment Rs 2110,Payroll
Ola Flight Ticket Rs 13084,Travel
Tata CA Fees Rs 66870,Professional Fees
Reliance Facebook Ads Rs 55521,Marketing
Uber Water Bill Rs 51821,Utilities
Uber Taxi Fare Rs 76695,Travel
BSNL Warehouse Rent Rs 87052,Rent
OpenAI Supplier Payment Rs 25194,Vendor Payment
BSNL Supplier Payment Rs 50903,Vendor Payment
Flipkart Property Rent Rs 53604,Rent
Ola Broadband Payment Rs 91104,Utilities
Ola Water Bill Rs 20101,Utilities
Amazon Google Ads Rs 15899,Marketing
Adobe NEFT Charges Rs 24212,Bank Charges
Amazon Professional Charges Rs 61456,Professional Fees
Adobe Vendor Payment Rs 80116,Vendor Payment
Microsoft GitHub Subscription Rs 20059,Software
Jio TDS Deposit Rs 29330,TDS Payment
Ola Printer Purchase Rs 52027,Office Expense
Infosys CGST Payment Rs 98890,GST
Amazon TDS Deposit Rs 88794,TDS Payment
Adobe Vehicle Insurance Rs 28355,Insurance
Google Vehicle Loan EMI Rs 85832,Loan Payment
Reliance Contractor Invoice Rs 64587,Vendor Payment
OpenAI IGST Payment Rs 35333,GST
Infosys RTGS Charges Rs 52596,Bank Charges
BSNL SEO Charges Rs 56837,Marketing
Jio Consulting Charges Rs 83900,Professional Fees
Airtel TDS Payment Rs 44648,TDS Payment
Airtel Vendor Payment Rs 61141,Vendor Payment
Google Instagram Ads Rs 16112,Marketing
Uber Professional Charges Rs 25095,Professional Fees
Microsoft Staff Salary Rs 45900,Payroll
BSNL Laptop Purchase Rs 47797,Office Expense
Ola Internet Bill Rs 68210,Utilities
Google RTGS Charges Rs 89708,Bank Charges
BSNL TDS Deposit Rs 18167,TDS Payment
Microsoft Contractor Invoice Rs 69477,Vendor Payment
Jio Google Workspace Rs 43195,Software
Adobe Electricity Bill Rs 62653,Utilities
AWS Cab Booking Rs 32604,Travel
Jio IGST Payment Rs 38340,GST
BSNL ChatGPT Subscription Rs 4793,Software
BSNL Taxi Fare Rs 58964,Travel
Tata Broadband Payment Rs 11220,Utilities
Amazon TDS Challan Rs 98990,TDS Payment
Infosys Vendor Payment Rs 3746,Vendor Payment
BSNL Staff Salary Rs 53770,Payroll
Uber Health Insurance Rs 37743,Insurance
Uber SEO Charges Rs 96327,Marketing
Adobe Bank Service Fee Rs 26886,Bank Charges
Amazon SEO Charges Rs 39816,Marketing
Microsoft Cab Booking Rs 93683,Travel
Tata Business Insurance Rs 55987,Insurance
Adobe Office Insurance Rs 72474,Insurance
AWS Consulting Charges Rs 10653,Professional Fees
OpenAI Hotel Stay Rs 2841,Travel
Amazon CGST Payment Rs 96741,GST
Tata TDS Deposit Rs 67325,TDS Payment
OpenAI TDS Payment Rs 73721,TDS Payment
OpenAI Health Insurance Rs 87256,Insurance
Amazon IGST Payment Rs 69633,GST
Infosys Facebook Ads Rs 6802,Marketing
Microsoft Staff Salary Rs 4320,Payroll
Adobe ATM Charges Rs 96530,Bank Charges
Reliance IGST Payment Rs 79132,GST
Flipkart TDS Deposit Rs 53715,TDS Payment
OpenAI Staff Salary Rs 56578,Payroll
BSNL Supplier Payment Rs 79970,Vendor Payment
Adobe Bank Loan EMI Rs 814,Loan Payment
Ola Business Loan EMI Rs 54418,Loan Payment
Amazon NEFT Charges Rs 59083,Bank Charges
Tata Consulting Charges Rs 4438,Professional Fees
Uber Facebook Ads Rs 42998,Marketing
Amazon Office Rent Rs 96832,Rent
Amazon Stationery Purchase Rs 66424,Office Expense
Airtel Laptop Purchase Rs 39372,Office Expense
Tata TDS Challan Rs 62100,TDS Payment
BSNL Printer Purchase Rs 51999,Office Expense
Adobe Google Workspace Rs 79048,Software
Ola SGST Payment Rs 8072,GST
Reliance Facebook Ads Rs 61248,Marketing
Airtel CA Fees Rs 55191,Professional Fees
Airtel Water Bill Rs 9048,Utilities
Jio AWS Hosting Rs 69907,Software
Amazon Internet Bill Rs 97154,Utilities
Adobe Instagram Ads Rs 77205,Marketing
Microsoft Printer Purchase Rs 9710,Office Expense
Reliance Taxi Fare Rs 36410,Travel
Uber Taxi Fare Rs 92189,Travel
Uber Commercial Rent Rs 85328,Rent
OpenAI Property Rent Rs 61583,Rent
BSNL Train Ticket Rs 1789,Travel
AWS NEFT Charges Rs 86233,Bank Charges
Amazon ChatGPT Subscription Rs 55473,Software
Microsoft Bank Service Fee Rs 64536,Bank Charges
Reliance RTGS Charges Rs 16740,Bank Charges
AWS Business Loan EMI Rs 72549,Loan Payment
Infosys Salary Payment Rs 75627,Payroll
Tata Health Insurance Rs 6487,Insurance
Adobe CA Fees Rs 6009,Professional Fees
Microsoft Vehicle Insurance Rs 92972,Insurance
Ola SGST Payment Rs 29822,GST
AWS Cab Booking Rs 90757,Travel
Tata GST Payment Rs 6354,GST
Uber TDS Deposit Rs 30448,TDS Payment
AWS Cab Booking Rs 53415,Travel
Adobe Business Loan EMI Rs 52272,Loan Payment
Ola Accounting Services Rs 76451,Professional Fees
AWS Office Rent Rs 65109,Rent
Microsoft Vehicle Loan EMI Rs 14050,Loan Payment
Reliance TDS Payment Rs 93247,TDS Payment
BSNL Staff Salary Rs 66058,Payroll
Airtel Electricity Bill Rs 56198,Utilities
OpenAI TDS Payment Rs 89973,TDS Payment
OpenAI Flight Ticket Rs 6574,Travel
Flipkart Vehicle Insurance Rs 19552,Insurance
Jio Health Insurance Rs 70543,Insurance
Google Consulting Charges Rs 15015,Professional Fees
Jio Office Maintenance Rs 5712,Office Expense
Airtel Train Ticket Rs 57887,Travel
AWS TDS Deposit Rs 92790,TDS Payment
Reliance Vehicle Insurance Rs 48821,Insurance
Jio Accounting Services Rs 96469,Professional Fees
Google Staff Salary Rs 22485,Payroll
Flipkart CGST Payment Rs 80621,GST
Uber Professional Charges Rs 54313,Professional Fees
Google Office Furniture Rs 9563,Office Expense
OpenAI Vendor Payment Rs 70592,Vendor Payment
Amazon ATM Charges Rs 48993,Bank Charges
Tata Zoom Subscription Rs 55373,Software
Ola SEO Charges Rs 23233,Marketing
Flipkart Laptop Purchase Rs 75798,Office Expense
Tata Office Maintenance Rs 47180,Office Expense
Google Business Loan EMI Rs 82133,Loan Payment
Uber Supplier Payment Rs 30427,Vendor Payment
Airtel SGST Payment Rs 19754,GST
Infosys GST Payment Rs 11970,GST
BSNL Contractor Invoice Rs 66801,Vendor Payment
Google Bank Loan EMI Rs 51864,Loan Payment
Jio Cab Booking Rs 59948,Travel
Tata Vehicle Loan EMI Rs 92003,Loan Payment
Reliance Office Rent Rs 76825,Rent
Infosys GitHub Subscription Rs 83572,Software
Airtel Google Ads Rs 84953,Marketing
Reliance CA Fees Rs 68576,Professional Fees
AWS Facebook Ads Rs 35785,Marketing
OpenAI Flight Ticket Rs 94863,Travel
Flipkart ChatGPT Subscription Rs 54823,Software
Amazon GitHub Subscription Rs 8533,Software
AWS ChatGPT Subscription Rs 37805,Software
Adobe SGST Payment Rs 93684,GST
OpenAI IGST Payment Rs 88292,GST
Jio RTGS Charges Rs 82183,Bank Charges
Tata Warehouse Rent Rs 10912,Rent
Uber Zoom Subscription Rs 24007,Software
Reliance ATM Charges Rs 42764,Bank Charges
Infosys Warehouse Rent Rs 24130,Rent
Uber Broadband Payment Rs 96222,Utilities
Adobe ChatGPT Subscription Rs 24780,Software
AWS Cab Booking Rs 7684,Travel
Jio Professional Charges Rs 86591,Professional Fees
Reliance GST Payment Rs 11835,GST
OpenAI Bank Service Fee Rs 20601,Bank Charges
Amazon SEO Charges Rs 62499,Marketing
Airtel Professional Charges Rs 81459,Professional Fees
Jio Payroll Processing Rs 34985,Payroll
Amazon CA Fees Rs 12035,Professional Fees
Ola Business Loan EMI Rs 25059,Loan Payment
Microsoft Printer Purchase Rs 82136,Office Expense
BSNL Professional Charges Rs 88172,Professional Fees
BSNL Cab Booking Rs 41612,Travel
Google Bank Loan EMI Rs 3044,Loan Payment
Infosys Commercial Rent Rs 23262,Rent
Ola Google Ads Rs 62819,Marketing
Ola Train Ticket Rs 82441,Travel
BSNL TDS Challan Rs 56649,TDS Payment
Google Bonus Payment Rs 50560,Payroll
Google Staff Salary Rs 78231,Payroll
Airtel Business Insurance Rs 64226,Insurance
Adobe Office Insurance Rs 34886,Insurance
Ola Marketing Campaign Rs 12226,Marketing
Flipkart SGST Payment Rs 3788,GST
OpenAI Cab Booking Rs 12319,Travel
Ola Supplier Payment Rs 36675,Vendor Payment
Flipkart Electricity Bill Rs 34017,Utilities
Airtel SGST Payment Rs 50014,GST
Jio IGST Payment Rs 28603,GST
Uber Vehicle Insurance Rs 83130,Insurance
Amazon Office Maintenance Rs 40845,Office Expense
OpenAI Bank Loan EMI Rs 55066,Loan Payment
AWS ChatGPT Subscription Rs 5256,Software
BSNL AWS Hosting Rs 90919,Software
BSNL Supplier Payment Rs 29270,Vendor Payment
Reliance Internet Bill Rs 78967,Utilities
OpenAI Bank Loan EMI Rs 96479,Loan Payment
Jio Cab Booking Rs 80282,Travel
Uber Health Insurance Rs 29030,Insurance
Jio ChatGPT Subscription Rs 86872,Software
BSNL Bonus Payment Rs 55222,Payroll
AWS Business Insurance Rs 65803,Insurance
BSNL GitHub Subscription Rs 89035,Software
Adobe Accounting Services Rs 82087,Professional Fees
Jio IGST Payment Rs 84928,GST
Infosys Employee Benefits Rs 31193,Payroll
Google Internet Bill Rs 65405,Utilities
Ola Office Rent Rs 23331,Rent
OpenAI Taxi Fare Rs 14331,Travel
Infosys SEO Charges Rs 20242,Marketing
Infosys Raw Material Purchase Rs 72834,Vendor Payment
Flipkart Office Furniture Rs 85888,Office Expense
BSNL Vehicle Loan EMI Rs 1119,Loan Payment
Tata Staff Salary Rs 76688,Payroll
Infosys Raw Material Purchase Rs 95211,Vendor Payment
AWS Google Workspace Rs 30634,Software
Google IGST Payment Rs 94680,GST
Flipkart SEO Charges Rs 54814,Marketing
Google AWS Hosting Rs 47066,Software
BSNL Warehouse Rent Rs 79737,Rent
Google SEO Charges Rs 60248,Marketing
Infosys AWS Hosting Rs 21183,Software
AWS TDS Challan Rs 11458,TDS Payment
Reliance Bank Loan EMI Rs 30655,Loan Payment
Airtel Flight Ticket Rs 66134,Travel
Jio Google Workspace Rs 38478,Software
Adobe Business Loan EMI Rs 55939,Loan Payment
Airtel Health Insurance Rs 733,Insurance
OpenAI SEO Charges Rs 20958,Marketing
Infosys TDS Challan Rs 97270,TDS Payment
Microsoft Consulting Charges Rs 37782,Professional Fees
Infosys Cab Booking Rs 24623,Travel
Ola Warehouse Rent Rs 81634,Rent
Google GST Payment Rs 53856,GST
Ola Water Bill Rs 71735,Utilities
Tata Property Rent Rs 40706,Rent
Adobe Commercial Rent Rs 86569,Rent
OpenAI Office Rent Rs 56729,Rent
Jio Google Ads Rs 55238,Marketing
Tata TDS Deposit Rs 80523,TDS Payment
Google Commercial Rent Rs 613,Rent
Uber RTGS Charges Rs 71636,Bank Charges
Uber Office Insurance Rs 77687,Insurance
Uber Warehouse Rent Rs 92222,Rent
Jio Bonus Payment Rs 57311,Payroll
Reliance Instagram Ads Rs 18050,Marketing
OpenAI Raw Material Purchase Rs 74499,Vendor Payment
Reliance GST Payment Rs 1281,GST
Adobe Warehouse Rent Rs 17558,Rent
Adobe GitHub Subscription Rs 79822,Software
BSNL Bonus Payment Rs 88371,Payroll
Ola Google Workspace Rs 59331,Software
Reliance Office Maintenance Rs 25972,Office Expense
Microsoft Consulting Charges Rs 33854,Professional Fees
Adobe Office Rent Rs 49705,Rent
Reliance ChatGPT Subscription Rs 59797,Software
Google Employee Benefits Rs 72995,Payroll
Google Bank Loan EMI Rs 53944,Loan Payment
BSNL Vehicle Insurance Rs 40405,Insurance
Flipkart Cab Booking Rs 64649,Travel
Flipkart Raw Material Purchase Rs 40963,Vendor Payment
Adobe Salary Payment Rs 26804,Payroll
BSNL Zoom Subscription Rs 82277,Software
Ola ChatGPT Subscription Rs 78983,Software
Infosys Broadband Payment Rs 61512,Utilities
Uber IGST Payment Rs 15023,GST
Ola ATM Charges Rs 93485,Bank Charges
Flipkart Business Insurance Rs 10539,Insurance
Airtel Office Insurance Rs 60606,Insurance
Infosys Google Ads Rs 573,Marketing
Jio TDS Challan Rs 31994,TDS Payment
Google Consulting Charges Rs 29489,Professional Fees
Amazon Facebook Ads Rs 52195,Marketing
OpenAI AWS Hosting Rs 96896,Software
BSNL Printer Purchase Rs 98119,Office Expense
Flipkart Health Insurance Rs 45772,Insurance
Flipkart TDS Deposit Rs 68406,TDS Payment
Airtel Business Loan EMI Rs 74798,Loan Payment
BSNL Bank Loan EMI Rs 43969,Loan Payment
Microsoft Hotel Stay Rs 95843,Travel
AWS Instagram Ads Rs 62066,Marketing
Microsoft AWS Hosting Rs 90403,Software
Reliance Office Rent Rs 10634,Rent
Uber Office Maintenance Rs 20848,Office Expense
Ola Business Insurance Rs 40490,Insurance
