Transaction_Text,Amount,Category,Ledger,Journal_Entry,Financial_Statement
Bank commission charged,191008,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Office furniture purchased,426300,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Payroll expense booked,244285,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Marketing campaign expense,49716,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
GST deposited,300895,GST,GST Payable,GST Payable Dr | To Bank,Liability
Electricity bill paid,282530,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Water bill paid,172741,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Monthly payroll payment,303397,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
GST payment made,74116,GST,GST Payable,GST Payable Dr | To Bank,Liability
Bank service fee charged,115635,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Travel reimbursement paid,397221,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Professional charges paid,496209,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Processing charges deducted,34670,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Taxi fare paid,492656,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Travel reimbursement paid,268647,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Sales income received,92687,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Legal fees paid,20768,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
GST challan payment,348955,GST,GST Payable,GST Payable Dr | To Bank,Liability
Telephone bill paid,64199,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Loan principal paid,354600,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Employee salary transfer,445346,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Employee salary transfer,174598,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Payroll expense booked,258993,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Computer equipment purchased,395179,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Business insurance paid,34143,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Building rent payment,226510,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Audit fees paid,272017,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Printer purchased,47951,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Business travel expense,6333,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Travel reimbursement paid,470253,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Google advertisement expense,159610,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Vehicle purchased,14797,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Loan principal paid,307369,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Staff salary paid,483202,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Promotional expense paid,375659,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Customer receipt recorded,345115,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Payroll expense booked,202791,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Printer purchased,441450,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Revenue received from client,394051,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Laptop purchased,65325,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Legal fees paid,244476,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Advertising charges paid,280434,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Audit fees paid,301184,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Facebook advertisement expense,87732,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Hotel expense paid,72798,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Term loan payment made,430547,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Internet bill paid,346544,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Rent expense booked,339389,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
GST liability paid,16676,GST,GST Payable,GST Payable Dr | To Bank,Liability
Vehicle purchased,108039,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Customer receipt recorded,12100,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Revenue received from client,497745,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Insurance renewal paid,411536,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Consultancy fees paid,440490,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Internet bill paid,6726,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Internet bill paid,129685,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Insurance renewal paid,192599,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
GST tax deposited,330813,GST,GST Payable,GST Payable Dr | To Bank,Liability
Flight ticket booked,187996,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Revenue received from client,244704,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Consultancy fees paid,447067,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Audit fees paid,51830,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Promotional expense paid,46128,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Legal fees paid,352726,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
GST challan payment,44851,GST,GST Payable,GST Payable Dr | To Bank,Liability
Rent expense booked,328948,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Professional charges paid,76683,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Office rent paid,347988,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Loan repayment made,26400,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
GST deposited,304243,GST,GST Payable,GST Payable Dr | To Bank,Liability
Flight ticket booked,425986,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Bank service fee charged,265363,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Salary paid to employees,260567,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Water bill paid,139496,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Google advertisement expense,157087,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Flight ticket booked,314041,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Insurance premium paid,74077,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Bank charges deducted,281009,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Employee salary transfer,415897,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Vehicle purchased,396590,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
GST liability paid,402273,GST,GST Payable,GST Payable Dr | To Bank,Liability
Rent expense booked,275754,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Vehicle insurance paid,334470,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Legal fees paid,264006,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Laptop purchased,7811,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Electricity bill paid,142464,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
GST liability paid,202979,GST,GST Payable,GST Payable Dr | To Bank,Liability
Telephone bill paid,461753,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Monthly rent transferred,52131,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Google advertisement expense,6301,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Travel reimbursement paid,165138,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Computer equipment purchased,62802,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Internet bill paid,490155,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Bank charges deducted,120401,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Bank service fee charged,67813,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Professional charges paid,129187,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Audit fees paid,2065,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
GST payment made,70730,GST,GST Payable,GST Payable Dr | To Bank,Liability
Computer equipment purchased,14266,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Sales income received,149219,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Processing charges deducted,96182,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Employee salary transfer,182762,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Office rent paid,140882,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Insurance premium paid,294492,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Business travel expense,418642,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Monthly payroll payment,105864,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Employee salary transfer,4684,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Processing charges deducted,306539,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Payroll expense booked,268970,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
GST challan payment,354301,GST,GST Payable,GST Payable Dr | To Bank,Liability
Flight ticket booked,21024,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Transaction charges deducted,20888,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Computer equipment purchased,426616,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Building rent payment,314356,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Google advertisement expense,205667,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Utility expense paid,278497,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Monthly payroll payment,108915,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
GST tax deposited,176814,GST,GST Payable,GST Payable Dr | To Bank,Liability
Advertising charges paid,190679,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Consultancy fees paid,175352,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Audit fees paid,270382,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Printer purchased,246410,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Salary paid to employees,489181,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Warehouse rent paid,14959,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Professional charges paid,24861,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Insurance premium paid,295844,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Travel reimbursement paid,124445,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Insurance premium paid,450727,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Audit fees paid,204331,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Monthly rent transferred,303243,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Hotel expense paid,420970,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Employee salary transfer,222942,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Utility expense paid,223076,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Consultancy fees paid,49327,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Sales collection received,108629,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Sales collection received,175062,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Facebook advertisement expense,242892,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Loan EMI paid,58857,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Customer payment received,480914,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Business travel expense,461256,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Bank loan installment paid,179499,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Google advertisement expense,188820,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Internet bill paid,138932,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Term loan payment made,496127,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Monthly rent transferred,20817,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Monthly payroll payment,196750,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Printer purchased,403833,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Bank charges deducted,203248,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Insurance renewal paid,227334,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Water bill paid,400534,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Computer equipment purchased,131642,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Bank charges deducted,17398,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Printer purchased,236939,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Sales income received,411238,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Monthly payroll payment,468645,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Google advertisement expense,227635,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Hotel expense paid,390557,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Computer equipment purchased,217501,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Bank charges deducted,130079,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Monthly payroll payment,286486,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Vehicle purchased,97919,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Insurance renewal paid,265770,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Customer payment received,382385,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Legal fees paid,254156,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Customer payment received,77047,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Payroll expense booked,132676,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Travel reimbursement paid,139209,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Employee salary transfer,294999,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Advertising charges paid,303156,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Insurance renewal paid,209126,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
GST liability paid,282833,GST,GST Payable,GST Payable Dr | To Bank,Liability
Business insurance paid,393744,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Staff salary paid,328223,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Customer payment received,453151,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Internet bill paid,101265,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Consultancy fees paid,488261,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Transaction charges deducted,250092,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Telephone bill paid,445935,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Processing charges deducted,175632,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
GST challan payment,341119,GST,GST Payable,GST Payable Dr | To Bank,Liability
Revenue received from client,88223,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Office furniture purchased,495328,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Customer receipt recorded,223231,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Bank service fee charged,350831,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Sales collection received,127951,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Vehicle purchased,23671,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Payroll expense booked,437560,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Professional charges paid,445111,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Consultancy fees paid,408205,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Travel reimbursement paid,323661,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Audit fees paid,404962,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Office rent paid,32341,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Flight ticket booked,366558,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Rent expense booked,354733,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Payroll expense booked,14041,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Advertising charges paid,76223,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Processing charges deducted,416275,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Business travel expense,323987,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
GST challan payment,200794,GST,GST Payable,GST Payable Dr | To Bank,Liability
Internet bill paid,433116,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
GST payment made,465830,GST,GST Payable,GST Payable Dr | To Bank,Liability
Vehicle insurance paid,354378,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Bank loan installment paid,2690,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Flight ticket booked,210388,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Professional charges paid,454955,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Electricity bill paid,153267,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Customer receipt recorded,371482,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Health insurance premium,3832,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Electricity bill paid,266635,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
GST tax deposited,402447,GST,GST Payable,GST Payable Dr | To Bank,Liability
Loan principal paid,191227,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Professional charges paid,159608,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Laptop purchased,166499,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Term loan payment made,90065,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Insurance premium paid,350950,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Vehicle purchased,340930,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Audit fees paid,279533,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Electricity bill paid,234686,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Employee salary transfer,194929,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Marketing campaign expense,185263,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Sales collection received,181997,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Staff salary paid,434776,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Business insurance paid,1118,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Water bill paid,474625,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Travel reimbursement paid,72179,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Office furniture purchased,365050,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Advertising charges paid,125069,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Insurance premium paid,11496,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Employee salary transfer,249814,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Office rent paid,340047,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Bank charges deducted,419235,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Loan repayment made,231342,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Loan EMI paid,205537,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Sales income received,432022,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Bank charges deducted,219851,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Transaction charges deducted,111988,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Office furniture purchased,347564,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Revenue received from client,346593,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Business insurance paid,128759,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Staff salary paid,399518,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Telephone bill paid,217453,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Term loan payment made,436944,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Google advertisement expense,71572,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Marketing campaign expense,72608,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Rent expense booked,137433,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
GST challan payment,449959,GST,GST Payable,GST Payable Dr | To Bank,Liability
Promotional expense paid,59399,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Processing charges deducted,166407,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
CA fees paid,419271,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Professional charges paid,161991,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
CA fees paid,257619,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Monthly payroll payment,77990,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Customer payment received,382541,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Marketing campaign expense,340165,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Insurance renewal paid,129556,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Loan principal paid,388313,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
