Transaction_Text,Ledger
Microsoft 365 subscription Rs 481724,Software Expense
Google Workspace subscription Rs 9219,Software Expense
Office rent payment Rs 284421,Rent Expense
Product sale Rs 359817,Sales Revenue
GST deposited Rs 419967,GST Payable
Revenue from client Rs 238480,Sales Revenue
Loan EMI payment Rs 307505,Loan Liability
Google Workspace subscription Rs 137376,Software Expense
Business loan payment Rs 53655,Loan Liability
Electricity bill payment Rs 332037,Utilities Expense
Product sale Rs 473161,Sales Revenue
Savings account interest Rs 282453,Interest Income
Purchase invoice received Rs 454644,Purchase Expense
TDS payment Rs 105289,TDS Payable
TDS government payment Rs 36569,TDS Payable
CA consultation fees Rs 497868,Professional Fees
Goods purchased Rs 252741,Purchase Expense
Inventory purchase Rs 108087,Purchase Expense
Bank interest income Rs 105494,Interest Income
Train ticket Rs 292475,Travel Expense
Professional consultancy fees Rs 344896,Professional Fees
CA consultation fees Rs 237534,Professional Fees
FD interest received Rs 462522,Interest Income
Business loan payment Rs 175897,Loan Liability
Vehicle insurance premium Rs 235209,Insurance Expense
Goods purchased Rs 272345,Purchase Expense
Wages paid to workers Rs 194827,Salary Expense
Payroll payment Rs 288832,Salary Expense
Bank service charges Rs 241761,Bank Charges
Train ticket Rs 163100,Travel Expense
Audit fees Rs 202381,Professional Fees
Software license renewal Rs 261877,Software Expense
RTGS charges Rs 35529,Bank Charges
Building lease payment Rs 352189,Rent Expense
Loan repayment Rs 209237,Loan Liability
Water bill payment Rs 330246,Utilities Expense
Vehicle insurance premium Rs 127548,Insurance Expense
Warehouse rent Rs 152331,Rent Expense
Business loan payment Rs 17212,Loan Liability
Bank interest income Rs 10148,Interest Income
Processing fee charged by bank Rs 70937,Bank Charges
Office supplies purchase Rs 348767,Purchase Expense
CA consultation fees Rs 58326,Professional Fees
Sales receipt Rs 368558,Sales Revenue
Cloud hosting payment Rs 395475,Software Expense
FD interest received Rs 466311,Interest Income
Monthly staff salary Rs 58735,Salary Expense
TDS payment Rs 12631,TDS Payable
Goods purchased Rs 181645,Purchase Expense
Raw material purchase Rs 471781,Purchase Expense
Promotional expense Rs 487320,Marketing Expense
Office rent payment Rs 462224,Rent Expense
Building lease payment Rs 163830,Rent Expense
Loan EMI payment Rs 281696,Loan Liability
Wages paid to workers Rs 369206,Salary Expense
Employee bonus payment Rs 59955,Salary Expense
Legal advisor fees Rs 253417,Professional Fees
Revenue from client Rs 409724,Sales Revenue
AWS hosting charges Rs 295108,Software Expense
Microsoft 365 subscription Rs 462426,Software Expense
Train ticket Rs 355601,Travel Expense
Product sale Rs 395434,Sales Revenue
Product sale Rs 390982,Sales Revenue
Audit fees Rs 212162,Professional Fees
Warehouse rent Rs 114350,Rent Expense
Hotel accommodation Rs 24708,Travel Expense
Bank interest income Rs 361488,Interest Income
Internet bill Rs 32018,Utilities Expense
Facebook advertisement Rs 469074,Marketing Expense
Warehouse rent Rs 431410,Rent Expense
Processing fee charged by bank Rs 413989,Bank Charges
Bank interest income Rs 124535,Interest Income
TDS challan Rs 311290,TDS Payable
Legal advisor fees Rs 76787,Professional Fees
TDS challan Rs 434412,TDS Payable
Promotional expense Rs 249880,Marketing Expense
Flight ticket Rs 389943,Travel Expense
RTGS charges Rs 389486,Bank Charges
NEFT charges Rs 118172,Bank Charges
Raw material purchase Rs 16028,Purchase Expense
Utility charges Rs 410253,Utilities Expense
Office supplies purchase Rs 420364,Purchase Expense
Software license renewal Rs 483394,Software Expense
GST deposited Rs 151431,GST Payable
Cheque book charges Rs 227916,Bank Charges
Cheque book charges Rs 407089,Bank Charges
Internet bill Rs 278460,Utilities Expense
Facebook advertisement Rs 28894,Marketing Expense
Utility charges Rs 32832,Utilities Expense
Raw material purchase Rs 261957,Purchase Expense
Revenue from client Rs 47432,Sales Revenue
Service income received Rs 45093,Sales Revenue
GST deposited Rs 443515,GST Payable
Advertisement charges Rs 471685,Marketing Expense
TDS payment Rs 22908,TDS Payable
Business travel expense Rs 315301,Travel Expense
Monthly office rent Rs 198784,Rent Expense
Advertisement charges Rs 18618,Marketing Expense
Salary paid to employee Rs 413628,Salary Expense
Marketing campaign expense Rs 249222,Marketing Expense
Processing fee charged by bank Rs 190861,Bank Charges
Office supplies purchase Rs 57321,Purchase Expense
GST payment challan Rs 6629,GST Payable
FD interest received Rs 201870,Interest Income
Building lease payment Rs 237581,Rent Expense
CA consultation fees Rs 284921,Professional Fees
NEFT charges Rs 418259,Bank Charges
Product sale Rs 56003,Sales Revenue
Goods purchased Rs 99299,Purchase Expense
Cheque book charges Rs 361015,Bank Charges
Flight ticket Rs 386959,Travel Expense
Purchase invoice received Rs 152412,Purchase Expense
Cloud hosting payment Rs 454222,Software Expense
Office supplies purchase Rs 204467,Purchase Expense
Google Ads payment Rs 100685,Marketing Expense
Marketing campaign expense Rs 274884,Marketing Expense
Monthly office rent Rs 195568,Rent Expense
GST monthly payment Rs 136869,GST Payable
Facebook advertisement Rs 40695,Marketing Expense
RTGS charges Rs 135103,Bank Charges
Flight ticket Rs 391207,Travel Expense
Hotel accommodation Rs 80937,Travel Expense
Google Workspace subscription Rs 226554,Software Expense
Utility charges Rs 66591,Utilities Expense
Savings account interest Rs 98221,Interest Income
Internet bill Rs 67419,Utilities Expense
Office rent payment Rs 2714,Rent Expense
Insurance expense Rs 153376,Insurance Expense
Internet bill Rs 228870,Utilities Expense
Legal advisor fees Rs 1152,Professional Fees
Electricity bill payment Rs 96872,Utilities Expense
Internet bill Rs 341769,Utilities Expense
Processing fee charged by bank Rs 82536,Bank Charges
RTGS charges Rs 365289,Bank Charges
Shop rent paid Rs 423071,Rent Expense
Microsoft 365 subscription Rs 218811,Software Expense
Warehouse rent Rs 238783,Rent Expense
Wages paid to workers Rs 438396,Salary Expense
Inventory purchase Rs 451865,Purchase Expense
Shop rent paid Rs 113547,Rent Expense
Bank loan installment Rs 92433,Loan Liability
Savings account interest Rs 416714,Interest Income
Tax filing charges Rs 452458,Professional Fees
Sales receipt Rs 303985,Sales Revenue
Loan repayment Rs 256896,Loan Liability
Internet bill Rs 370460,Utilities Expense
Savings account interest Rs 160481,Interest Income
Security guard salary Rs 459702,Salary Expense
Hotel accommodation Rs 269077,Travel Expense
Building lease payment Rs 464492,Rent Expense
Purchase invoice received Rs 202591,Purchase Expense
Insurance renewal Rs 216275,Insurance Expense
Marketing campaign expense Rs 35059,Marketing Expense
Health insurance premium Rs 475274,Insurance Expense
Monthly staff salary Rs 225994,Salary Expense
Processing fee charged by bank Rs 435953,Bank Charges
Uber ride Rs 45498,Travel Expense
GST monthly payment Rs 173504,GST Payable
Savings account interest Rs 214062,Interest Income
Software license renewal Rs 144627,Software Expense
Sales receipt Rs 18520,Sales Revenue
Salary paid to employee Rs 370416,Salary Expense
GST deposited Rs 289840,GST Payable
Office supplies purchase Rs 476939,Purchase Expense
Shop rent paid Rs 92633,Rent Expense
Monthly TDS payment Rs 494374,TDS Payable
TDS deposited Rs 435147,TDS Payable
Payroll payment Rs 108377,Salary Expense
GST deposited Rs 209345,GST Payable
Shop rent paid Rs 18371,Rent Expense
Office supplies purchase Rs 277282,Purchase Expense
Train ticket Rs 105646,Travel Expense
Interest credited Rs 9121,Interest Income
Legal advisor fees Rs 297961,Professional Fees
Microsoft 365 subscription Rs 42192,Software Expense
Advertisement charges Rs 266277,Marketing Expense
Insurance renewal Rs 432567,Insurance Expense
Hotel accommodation Rs 343570,Travel Expense
RTGS charges Rs 285481,Bank Charges
Bank loan installment Rs 204038,Loan Liability
Software license renewal Rs 228467,Software Expense
Telephone expense Rs 120969,Utilities Expense
GST payment challan Rs 385626,GST Payable
Electricity bill payment Rs 185338,Utilities Expense
NEFT charges Rs 443589,Bank Charges
Hotel accommodation Rs 359413,Travel Expense
Warehouse rent Rs 407074,Rent Expense
Professional consultancy fees Rs 93784,Professional Fees
Building lease payment Rs 349361,Rent Expense
Internet bill Rs 102595,Utilities Expense
Advertisement charges Rs 452301,Marketing Expense
FD interest received Rs 92743,Interest Income
Customer invoice generated Rs 395028,Sales Revenue
TDS deposited Rs 488135,TDS Payable
Shop rent paid Rs 9300,Rent Expense
Health insurance premium Rs 168496,Insurance Expense
Advertisement charges Rs 77657,Marketing Expense
Warehouse rent Rs 34075,Rent Expense
GST payment challan Rs 177510,GST Payable
Purchase invoice received Rs 348361,Purchase Expense
Tax filing charges Rs 3450,Professional Fees
Uber ride Rs 493902,Travel Expense
Cheque book charges Rs 129760,Bank Charges
GST monthly payment Rs 124693,GST Payable
Audit fees Rs 313280,Professional Fees
Interest on loan Rs 36720,Loan Liability
Hotel accommodation Rs 101050,Travel Expense
Wages paid to workers Rs 341642,Salary Expense
Water bill payment Rs 411308,Utilities Expense
GST tax paid Rs 386866,GST Payable
Monthly office rent Rs 241758,Rent Expense
Sales receipt Rs 173505,Sales Revenue
Savings account interest Rs 149410,Interest Income
Telephone expense Rs 332877,Utilities Expense
RTGS charges Rs 450847,Bank Charges
Hotel accommodation Rs 458589,Travel Expense
Internet bill Rs 360723,Utilities Expense
Internet bill Rs 180473,Utilities Expense
Uber ride Rs 138055,Travel Expense
Insurance renewal Rs 307702,Insurance Expense
Marketing campaign expense Rs 396886,Marketing Expense
Water bill payment Rs 413760,Utilities Expense
TDS payment Rs 221504,TDS Payable
Raw material purchase Rs 228987,Purchase Expense
Bank interest income Rs 32329,Interest Income
Revenue from client Rs 432533,Sales Revenue
Audit fees Rs 371122,Professional Fees
Loan repayment Rs 198519,Loan Liability
Office rent payment Rs 269644,Rent Expense
Marketing campaign expense Rs 210514,Marketing Expense
Uber ride Rs 18579,Travel Expense
Monthly office rent Rs 350898,Rent Expense
Business travel expense Rs 460524,Travel Expense
TDS challan Rs 456640,TDS Payable
Business loan payment Rs 22629,Loan Liability
NEFT charges Rs 317305,Bank Charges
Bank loan installment Rs 207152,Loan Liability
Vehicle insurance premium Rs 475576,Insurance Expense
Business travel expense Rs 452726,Travel Expense
RTGS charges Rs 347611,Bank Charges
Loan EMI payment Rs 68646,Loan Liability
Promotional expense Rs 454516,Marketing Expense
Electricity bill payment Rs 498657,Utilities Expense
Investment interest Rs 320408,Interest Income
Flight ticket Rs 188408,Travel Expense
Water bill payment Rs 440203,Utilities Expense
Telephone expense Rs 332556,Utilities Expense
Monthly staff salary Rs 299509,Salary Expense
Revenue from client Rs 81092,Sales Revenue
Salary paid to employee Rs 124684,Salary Expense
Monthly office rent Rs 381296,Rent Expense
Purchase invoice received Rs 198710,Purchase Expense
Tax filing charges Rs 442683,Professional Fees
FD interest received Rs 373146,Interest Income
Advertisement charges Rs 203151,Marketing Expense
Savings account interest Rs 396181,Interest Income
GST payment challan Rs 334879,GST Payable
Uber ride Rs 491650,Travel Expense
Monthly staff salary Rs 182438,Salary Expense
Wages paid to workers Rs 301601,Salary Expense
Water bill payment Rs 200064,Utilities Expense
Goods purchased Rs 456895,Purchase Expense
Marketing campaign expense Rs 333625,Marketing Expense
RTGS charges Rs 495229,Bank Charges
Purchase invoice received Rs 209116,Purchase Expense
Cloud hosting payment Rs 315837,Software Expense
Tax filing charges Rs 129104,Professional Fees
TDS challan Rs 177251,TDS Payable
GST tax paid Rs 198657,GST Payable
Telephone expense Rs 356637,Utilities Expense
Revenue from client Rs 387813,Sales Revenue
GST monthly payment Rs 460903,GST Payable
Google Ads payment Rs 212850,Marketing Expense
Legal advisor fees Rs 257587,Professional Fees
GST liability payment Rs 326327,GST Payable
Professional consultancy fees Rs 369378,Professional Fees
Interest on loan Rs 155152,Loan Liability
Health insurance premium Rs 173643,Insurance Expense
Professional consultancy fees Rs 197445,Professional Fees
AWS hosting charges Rs 239856,Software Expense
Professional consultancy fees Rs 405548,Professional Fees
Vehicle insurance premium Rs 454100,Insurance Expense
Interest on loan Rs 422780,Loan Liability
Loan EMI payment Rs 280665,Loan Liability
Wages paid to workers Rs 133796,Salary Expense
Monthly office rent Rs 87514,Rent Expense
Microsoft 365 subscription Rs 16579,Software Expense
Interest credited Rs 251280,Interest Income
Google Workspace subscription Rs 171016,Software Expense
Purchase invoice received Rs 245357,Purchase Expense
GST monthly payment Rs 342902,GST Payable
Tax filing charges Rs 381607,Professional Fees
Microsoft 365 subscription Rs 416631,Software Expense
Monthly TDS payment Rs 173614,TDS Payable
Purchase invoice received Rs 50584,Purchase Expense
Health insurance premium Rs 249339,Insurance Expense
Business loan payment Rs 84835,Loan Liability
Marketing campaign expense Rs 391037,Marketing Expense
Purchase invoice received Rs 24388,Purchase Expense
Microsoft 365 subscription Rs 285570,Software Expense
Interest on loan Rs 184467,Loan Liability
Raw material purchase Rs 402895,Purchase Expense
TDS payment Rs 329698,TDS Payable
Loan EMI payment Rs 350216,Loan Liability
GST payment challan Rs 333352,GST Payable
Google Workspace subscription Rs 307260,Software Expense
Business loan payment Rs 487693,Loan Liability
Monthly staff salary Rs 412428,Salary Expense
Insurance expense Rs 195533,Insurance Expense
Wages paid to workers Rs 162995,Salary Expense
Legal advisor fees Rs 107510,Professional Fees
Microsoft 365 subscription Rs 432224,Software Expense
Health insurance premium Rs 478521,Insurance Expense
GST liability payment Rs 428414,GST Payable
Investment interest Rs 398895,Interest Income
Health insurance premium Rs 364506,Insurance Expense
Business travel expense Rs 264087,Travel Expense
Bank loan installment Rs 447306,Loan Liability
Hotel accommodation Rs 402739,Travel Expense
Business travel expense Rs 373526,Travel Expense
Wages paid to workers Rs 51135,Salary Expense
Google Workspace subscription Rs 325976,Software Expense
Professional consultancy fees Rs 265444,Professional Fees
Raw material purchase Rs 310226,Purchase Expense
TDS deposited Rs 129434,TDS Payable
Flight ticket Rs 100071,Travel Expense
RTGS charges Rs 300509,Bank Charges
Monthly office rent Rs 240170,Rent Expense
Customer invoice generated Rs 41669,Sales Revenue
TDS government payment Rs 304645,TDS Payable
Tax filing charges Rs 214230,Professional Fees
GST tax paid Rs 262999,GST Payable
Building lease payment Rs 233220,Rent Expense
Revenue from client Rs 21307,Sales Revenue
RTGS charges Rs 298933,Bank Charges
Water bill payment Rs 73519,Utilities Expense
Processing fee charged by bank Rs 378309,Bank Charges
Security guard salary Rs 474989,Salary Expense
Warehouse rent Rs 104955,Rent Expense
Interest on loan Rs 333837,Loan Liability
Processing fee charged by bank Rs 168489,Bank Charges
Legal advisor fees Rs 469130,Professional Fees
Building lease payment Rs 359235,Rent Expense
Sales receipt Rs 249474,Sales Revenue
Interest on loan Rs 58983,Loan Liability
Warehouse rent Rs 389641,Rent Expense
Bank interest income Rs 414998,Interest Income
Loan EMI payment Rs 484898,Loan Liability
Advertisement charges Rs 98107,Marketing Expense
Bank service charges Rs 231180,Bank Charges
Purchase invoice received Rs 279054,Purchase Expense
Employee bonus payment Rs 316204,Salary Expense
Goods purchased Rs 35103,Purchase Expense
Electricity bill payment Rs 256340,Utilities Expense
Bank service charges Rs 446101,Bank Charges
Loan repayment Rs 404952,Loan Liability
Health insurance premium Rs 423549,Insurance Expense
Monthly staff salary Rs 428897,Salary Expense
TDS deposited Rs 128159,TDS Payable
Loan EMI payment Rs 82950,Loan Liability
Revenue from client Rs 469282,Sales Revenue
Warehouse rent Rs 29168,Rent Expense
Google Workspace subscription Rs 234753,Software Expense
Insurance renewal Rs 382207,Insurance Expense
TDS payment Rs 361203,TDS Payable
Raw material purchase Rs 2254,Purchase Expense
Loan EMI payment Rs 254185,Loan Liability
Customer invoice generated Rs 108081,Sales Revenue
Water bill payment Rs 127262,Utilities Expense
TDS challan Rs 52221,TDS Payable
GST tax paid Rs 39212,GST Payable
RTGS charges Rs 434320,Bank Charges
Employee bonus payment Rs 58199,Salary Expense
Monthly staff salary Rs 61909,Salary Expense
Business loan payment Rs 67842,Loan Liability
GST monthly payment Rs 51075,GST Payable
Marketing campaign expense Rs 210571,Marketing Expense
Product sale Rs 40266,Sales Revenue
Insurance expense Rs 242108,Insurance Expense
Monthly TDS payment Rs 124740,TDS Payable
Uber ride Rs 131910,Travel Expense
Water bill payment Rs 347521,Utilities Expense
Shop rent paid Rs 283442,Rent Expense
Tax filing charges Rs 194582,Professional Fees
Hotel accommodation Rs 108613,Travel Expense
AWS hosting charges Rs 418417,Software Expense
Office supplies purchase Rs 244266,Purchase Expense
Professional consultancy fees Rs 278044,Professional Fees
Monthly TDS payment Rs 45946,TDS Payable
Vehicle insurance premium Rs 453955,Insurance Expense
Software license renewal Rs 11303,Software Expense
Software license renewal Rs 248859,Software Expense
Processing fee charged by bank Rs 252191,Bank Charges
Microsoft 365 subscription Rs 419404,Software Expense
TDS challan Rs 167259,TDS Payable
Professional consultancy fees Rs 327841,Professional Fees
Building lease payment Rs 115295,Rent Expense
Revenue from client Rs 301517,Sales Revenue
Bank service charges Rs 259812,Bank Charges
Telephone expense Rs 355354,Utilities Expense
Train ticket Rs 156020,Travel Expense
RTGS charges Rs 122022,Bank Charges
Processing fee charged by bank Rs 258562,Bank Charges
Monthly TDS payment Rs 155788,TDS Payable
Interest on loan Rs 492544,Loan Liability
Hotel accommodation Rs 464473,Travel Expense
Raw material purchase Rs 311938,Purchase Expense
GST liability payment Rs 161689,GST Payable
Internet bill Rs 118819,Utilities Expense
Marketing campaign expense Rs 141776,Marketing Expense
Bank interest income Rs 10060,Interest Income
Loan EMI payment Rs 71293,Loan Liability
Office supplies purchase Rs 488584,Purchase Expense
Bank interest income Rs 21553,Interest Income
Security guard salary Rs 293077,Salary Expense
Marketing campaign expense Rs 58581,Marketing Expense
AWS hosting charges Rs 165618,Software Expense
Building lease payment Rs 490088,Rent Expense
Purchase invoice received Rs 355615,Purchase Expense
Processing fee charged by bank Rs 36887,Bank Charges
Insurance renewal Rs 199714,Insurance Expense
GST liability payment Rs 474283,GST Payable
Savings account interest Rs 418099,Interest Income
Health insurance premium Rs 285100,Insurance Expense
Utility charges Rs 351973,Utilities Expense
Promotional expense Rs 325110,Marketing Expense
Telephone expense Rs 406399,Utilities Expense
AWS hosting charges Rs 25277,Software Expense
Processing fee charged by bank Rs 439469,Bank Charges
Monthly staff salary Rs 470111,Salary Expense
Advertisement charges Rs 237213,Marketing Expense
Insurance expense Rs 111101,Insurance Expense
TDS government payment Rs 327706,TDS Payable
Sales receipt Rs 317651,Sales Revenue
Uber ride Rs 296394,Travel Expense
Monthly TDS payment Rs 107527,TDS Payable
Business loan payment Rs 480395,Loan Liability
Internet bill Rs 489864,Utilities Expense
Cheque book charges Rs 447967,Bank Charges
Marketing campaign expense Rs 453011,Marketing Expense
Google Workspace subscription Rs 23595,Software Expense
Health insurance premium Rs 180302,Insurance Expense
Telephone expense Rs 148451,Utilities Expense
Salary paid to employee Rs 298037,Salary Expense
TDS deposited Rs 291063,TDS Payable
Hotel accommodation Rs 384488,Travel Expense
TDS challan Rs 38597,TDS Payable
Service income received Rs 205863,Sales Revenue
Shop rent paid Rs 320081,Rent Expense
Loan repayment Rs 393822,Loan Liability
Goods purchased Rs 442288,Purchase Expense
Microsoft 365 subscription Rs 95365,Software Expense
RTGS charges Rs 191494,Bank Charges
Promotional expense Rs 344533,Marketing Expense
TDS payment Rs 384768,TDS Payable
Marketing campaign expense Rs 223103,Marketing Expense
Loan repayment Rs 407072,Loan Liability
Software license renewal Rs 122731,Software Expense
Telephone expense Rs 171922,Utilities Expense
Insurance expense Rs 464708,Insurance Expense
Sales receipt Rs 281637,Sales Revenue
TDS payment Rs 375107,TDS Payable
Electricity bill payment Rs 381784,Utilities Expense
Vehicle insurance premium Rs 159429,Insurance Expense
Processing fee charged by bank Rs 388618,Bank Charges
Professional consultancy fees Rs 213517,Professional Fees
Building lease payment Rs 379597,Rent Expense
Insurance renewal Rs 483504,Insurance Expense
Purchase invoice received Rs 59212,Purchase Expense
Google Ads payment Rs 19273,Marketing Expense
Security guard salary Rs 375294,Salary Expense
Loan EMI payment Rs 86644,Loan Liability
Utility charges Rs 212524,Utilities Expense
TDS payment Rs 169048,TDS Payable
Loan repayment Rs 151106,Loan Liability
Employee bonus payment Rs 22104,Salary Expense
Processing fee charged by bank Rs 431274,Bank Charges
Business insurance payment Rs 72831,Insurance Expense
