Description,Category
AWS Subscription,Software
Google Workspace,Software
OpenAI API Charges,Software
Cursor Subscription,Software
Claude Subscription,Software
Figma Subscription,Software
Notion Subscription,Software
DigitalOcean Hosting,Software
VPS Hosting Charges,Software
Domain Renewal,Software
SSL Certificate Renewal,Software
Software Maintenance Fee,Software
GST Payment,GST
CGST Payment,GST
SGST Payment,GST
IGST Payment,GST
GST Challan,GST
GST Liability Payment,GST
GST Return Filing,GST
Tax Payment GST,GST
GST Expense,GST
GST Settlement,GST
GST Interest Payment,GST
GST Late Fee,GST
GST Demand Payment,GST
GST Adjustment,GST
GST Refund Processing,GST
GST Filing Charges,GST
GST Portal Payment,GST
GST Penalty,GST
GST Reconciliation Expense,GST
GST Assessment Payment,GST
Bank Charges,Bank Charges
ATM Charges,Bank Charges
Cheque Bounce Charges,Bank Charges
Processing Charges,Bank Charges
Account Maintenance Charges,Bank Charges
RTGS Charges,Bank Charges
NEFT Charges,Bank Charges
Bank Service Fee,Bank Charges
Transaction Charges,Bank Charges
Bank Penalty,Bank Charges
Bank SMS Charges,Bank Charges
Debit Card Annual Fee,Bank Charges
Credit Card Charges,Bank Charges
Bank Processing Fee,Bank Charges
Account Statement Charges,Bank Charges
Cash Deposit Charges,Bank Charges
Cheque Book Charges,Bank Charges
Bank Documentation Charges,Bank Charges
Online Banking Charges,Bank Charges
Bank Transaction Fee,Bank Charges
Vendor Payment,Vendor Payment
Supplier Payment,Vendor Payment
Raw Material Purchase,Vendor Payment
Vendor Settlement,Vendor Payment
Purchase Invoice Payment,Vendor Payment
Contractor Invoice Payment,Vendor Payment
Supplier Transfer,Vendor Payment
Vendor Advance,Vendor Payment
Vendor Bill Payment,Vendor Payment
Material Purchase Expense,Vendor Payment
Health Insurance Premium,Insurance
Vehicle Insurance,Insurance
Office Insurance,Insurance
Group Insurance Policy,Insurance
Professional Liability Insurance,Insurance
Fire Insurance Premium,Insurance
Business Insurance,Insurance
Employee Insurance,Insurance
Insurance Renewal,Insurance
Insurance Claim Charges,Insurance
