Transaction_Text,Actual,Predicted
TDS challan Rs 187767,TDS Payable,TDS Payable
Insurance expense Rs 160658,Insurance Expense,Insurance Expense
Office supplies purchase Rs 488584,Purchase Expense,Purchase Expense
Promotional expense Rs 184748,Marketing Expense,Marketing Expense
GST payment challan Rs 81739,GST Payable,GST Payable
Service income received Rs 408463,Sales Revenue,Sales Revenue
Hotel accommodation Rs 108613,Travel Expense,Travel Expense
Investment interest Rs 263680,Interest Income,Interest Income
Electricity bill payment Rs 344083,Utilities Expense,Utilities Expense
Professional consultancy fees Rs 369378,Professional Fees,Professional Fees
Investment interest Rs 274897,Interest Income,Interest Income
Raw material purchase Rs 464036,Purchase Expense,Purchase Expense
TDS payment Rs 265646,TDS Payable,TDS Payable
Raw material purchase Rs 468947,Purchase Expense,Purchase Expense
TDS deposited Rs 271218,TDS Payable,TDS Payable
Monthly office rent Rs 454316,Rent Expense,Rent Expense
Business travel expense Rs 387352,Travel Expense,Travel Expense
Inventory purchase Rs 277234,Purchase Expense,Purchase Expense
AWS hosting charges Rs 165618,Software Expense,Software Expense
Health insurance premium Rs 475274,Insurance Expense,Insurance Expense
Health insurance premium Rs 205304,Insurance Expense,Insurance Expense
Water bill payment Rs 347521,Utilities Expense,Utilities Expense
CA consultation fees Rs 438631,Professional Fees,Professional Fees
Facebook advertisement Rs 351463,Marketing Expense,Marketing Expense
Advertisement charges Rs 9885,Marketing Expense,Marketing Expense
Microsoft 365 subscription Rs 296535,Software Expense,Software Expense
FD interest received Rs 373146,Interest Income,Interest Income
TDS payment Rs 35515,TDS Payable,TDS Payable
Shop rent paid Rs 9300,Rent Expense,Rent Expense
Business loan payment Rs 212046,Loan Liability,Loan Liability
Building lease payment Rs 39001,Rent Expense,Rent Expense
Goods purchased Rs 296251,Purchase Expense,Purchase Expense
Professional consultancy fees Rs 303886,Professional Fees,Professional Fees
Loan EMI payment Rs 71293,Loan Liability,Loan Liability
Security guard salary Rs 349880,Salary Expense,Salary Expense
Service income received Rs 278430,Sales Revenue,Sales Revenue
Investment interest Rs 320408,Interest Income,Interest Income
Facebook advertisement Rs 85460,Marketing Expense,Marketing Expense
Promotional expense Rs 89796,Marketing Expense,Marketing Expense
FD interest received Rs 309411,Interest Income,Interest Income
Loan EMI payment Rs 265636,Loan Liability,Loan Liability
Cheque book charges Rs 443340,Bank Charges,Bank Charges
Professional consultancy fees Rs 249514,Professional Fees,Professional Fees
Loan repayment Rs 317721,Loan Liability,Loan Liability
Business travel expense Rs 127618,Travel Expense,Travel Expense
Hotel accommodation Rs 376647,Travel Expense,Travel Expense
Water bill payment Rs 130900,Utilities Expense,Utilities Expense
Utility charges Rs 74381,Utilities Expense,Utilities Expense
Inventory purchase Rs 29306,Purchase Expense,Purchase Expense
Interest on loan Rs 333837,Loan Liability,Loan Liability
Office rent payment Rs 234899,Rent Expense,Rent Expense
Telephone expense Rs 171922,Utilities Expense,Utilities Expense
Interest credited Rs 179416,Interest Income,Interest Income
GST liability payment Rs 186870,GST Payable,GST Payable
Hotel accommodation Rs 244200,Travel Expense,Travel Expense
Train ticket Rs 274837,Travel Expense,Travel Expense
Bank loan installment Rs 69804,Loan Liability,Loan Liability
Monthly TDS payment Rs 397685,TDS Payable,TDS Payable
Interest on loan Rs 109439,Loan Liability,Loan Liability
Service income received Rs 356896,Sales Revenue,Sales Revenue
Cloud hosting payment Rs 197328,Software Expense,Software Expense
Vehicle insurance premium Rs 344633,Insurance Expense,Insurance Expense
GST monthly payment Rs 492228,GST Payable,GST Payable
Security guard salary Rs 219652,Salary Expense,Salary Expense
RTGS charges Rs 389486,Bank Charges,Bank Charges
Flight ticket Rs 389943,Travel Expense,Travel Expense
Legal advisor fees Rs 125259,Professional Fees,Professional Fees
Goods purchased Rs 252741,Purchase Expense,Purchase Expense
Hotel accommodation Rs 490490,Travel Expense,Travel Expense
Software license renewal Rs 238539,Software Expense,Software Expense
Cloud hosting payment Rs 82943,Software Expense,Software Expense
TDS deposited Rs 142605,TDS Payable,TDS Payable
Software license renewal Rs 261877,Software Expense,Software Expense
Business travel expense Rs 145137,Travel Expense,Travel Expense
Internet bill Rs 341769,Utilities Expense,Utilities Expense
Shop rent paid Rs 391687,Rent Expense,Rent Expense
Audit fees Rs 10569,Professional Fees,Professional Fees
Cloud hosting payment Rs 445081,Software Expense,Software Expense
Monthly office rent Rs 82554,Rent Expense,Rent Expense
Wages paid to workers Rs 255772,Salary Expense,Salary Expense
AWS hosting charges Rs 67562,Software Expense,Software Expense
Purchase invoice received Rs 124352,Purchase Expense,Purchase Expense
Purchase invoice received Rs 164239,Purchase Expense,Purchase Expense
Security guard salary Rs 226267,Salary Expense,Salary Expense
Service income received Rs 57045,Sales Revenue,Sales Revenue
CA consultation fees Rs 231385,Professional Fees,Professional Fees
Microsoft 365 subscription Rs 48526,Software Expense,Software Expense
Monthly TDS payment Rs 173614,TDS Payable,TDS Payable
Microsoft 365 subscription Rs 464587,Software Expense,Software Expense
Google Workspace subscription Rs 174302,Software Expense,Software Expense
Inventory purchase Rs 30213,Purchase Expense,Purchase Expense
Cheque book charges Rs 128148,Bank Charges,Bank Charges
Interest on loan Rs 201000,Loan Liability,Loan Liability
Insurance renewal Rs 104978,Insurance Expense,Insurance Expense
Loan repayment Rs 372551,Loan Liability,Loan Liability
GST payment challan Rs 21423,GST Payable,GST Payable
Monthly staff salary Rs 261901,Salary Expense,Salary Expense
Google Ads payment Rs 133687,Marketing Expense,Marketing Expense
Shop rent paid Rs 133098,Rent Expense,Rent Expense
AWS hosting charges Rs 78714,Software Expense,Software Expense
Shop rent paid Rs 412686,Rent Expense,Rent Expense
Revenue from client Rs 261786,Sales Revenue,Sales Revenue
FD interest received Rs 201870,Interest Income,Interest Income
Monthly staff salary Rs 470111,Salary Expense,Salary Expense
Office rent payment Rs 235460,Rent Expense,Rent Expense
GST monthly payment Rs 57315,GST Payable,GST Payable
Processing fee charged by bank Rs 73344,Bank Charges,Bank Charges
Sales receipt Rs 303985,Sales Revenue,Sales Revenue
TDS deposited Rs 368852,TDS Payable,TDS Payable
Telephone expense Rs 230445,Utilities Expense,Utilities Expense
Promotional expense Rs 344533,Marketing Expense,Marketing Expense
Promotional expense Rs 185721,Marketing Expense,Marketing Expense
Monthly staff salary Rs 115383,Salary Expense,Salary Expense
Google Ads payment Rs 212850,Marketing Expense,Marketing Expense
Insurance expense Rs 195533,Insurance Expense,Insurance Expense
Building lease payment Rs 23836,Rent Expense,Rent Expense
Security guard salary Rs 241288,Salary Expense,Salary Expense
Monthly staff salary Rs 144037,Salary Expense,Salary Expense
CA consultation fees Rs 7363,Professional Fees,Professional Fees
GST payment challan Rs 209253,GST Payable,GST Payable
Monthly staff salary Rs 285524,Salary Expense,Salary Expense
Savings account interest Rs 98221,Interest Income,Interest Income
Water bill payment Rs 300044,Utilities Expense,Utilities Expense
Business loan payment Rs 227666,Loan Liability,Loan Liability
Health insurance premium Rs 423549,Insurance Expense,Insurance Expense
Service income received Rs 35649,Sales Revenue,Sales Revenue
Office supplies purchase Rs 465970,Purchase Expense,Purchase Expense
Inventory purchase Rs 414104,Purchase Expense,Purchase Expense
Promotional expense Rs 324717,Marketing Expense,Marketing Expense
Purchase invoice received Rs 178893,Purchase Expense,Purchase Expense
Uber ride Rs 380292,Travel Expense,Travel Expense
Business travel expense Rs 379807,Travel Expense,Travel Expense
Monthly TDS payment Rs 221692,TDS Payable,TDS Payable
Building lease payment Rs 120076,Rent Expense,Rent Expense
AWS hosting charges Rs 1548,Software Expense,Software Expense
Office rent payment Rs 469655,Rent Expense,Rent Expense
Facebook advertisement Rs 147711,Marketing Expense,Marketing Expense
Monthly staff salary Rs 384647,Salary Expense,Salary Expense
GST liability payment Rs 70997,GST Payable,GST Payable
RTGS charges Rs 405364,Bank Charges,Bank Charges
Insurance renewal Rs 137109,Insurance Expense,Insurance Expense
Cheque book charges Rs 151256,Bank Charges,Bank Charges
Office rent payment Rs 75999,Rent Expense,Rent Expense
Promotional expense Rs 225610,Marketing Expense,Marketing Expense
Insurance renewal Rs 121144,Insurance Expense,Insurance Expense
Inventory purchase Rs 110963,Purchase Expense,Purchase Expense
Interest on loan Rs 38283,Loan Liability,Loan Liability
Salary paid to employee Rs 84764,Salary Expense,Salary Expense
Savings account interest Rs 294332,Interest Income,Interest Income
TDS government payment Rs 471382,TDS Payable,TDS Payable
Revenue from client Rs 121713,Sales Revenue,Sales Revenue
Health insurance premium Rs 32047,Insurance Expense,Insurance Expense
Internet bill Rs 498673,Utilities Expense,Utilities Expense
Bank service charges Rs 357217,Bank Charges,Bank Charges
Water bill payment Rs 463592,Utilities Expense,Utilities Expense
Uber ride Rs 485675,Travel Expense,Travel Expense
Train ticket Rs 32563,Travel Expense,Travel Expense
Processing fee charged by bank Rs 165900,Bank Charges,Bank Charges
Purchase invoice received Rs 489278,Purchase Expense,Purchase Expense
Insurance renewal Rs 307702,Insurance Expense,Insurance Expense
CA consultation fees Rs 153607,Professional Fees,Professional Fees
Insurance expense Rs 403727,Insurance Expense,Insurance Expense
AWS hosting charges Rs 288964,Software Expense,Software Expense
Microsoft 365 subscription Rs 474245,Software Expense,Software Expense
Utility charges Rs 424537,Utilities Expense,Utilities Expense
Audit fees Rs 437125,Professional Fees,Professional Fees
TDS government payment Rs 34828,TDS Payable,TDS Payable
Processing fee charged by bank Rs 140306,Bank Charges,Bank Charges
GST liability payment Rs 238926,GST Payable,GST Payable
GST tax paid Rs 172927,GST Payable,GST Payable
Hotel accommodation Rs 343570,Travel Expense,Travel Expense
FD interest received Rs 92743,Interest Income,Interest Income
Utility charges Rs 401468,Utilities Expense,Utilities Expense
GST monthly payment Rs 136869,GST Payable,GST Payable
Processing fee charged by bank Rs 431274,Bank Charges,Bank Charges
FD interest received Rs 360292,Interest Income,Interest Income
Interest on loan Rs 118747,Loan Liability,Loan Liability
GST tax paid Rs 495572,GST Payable,GST Payable
Software license renewal Rs 81925,Software Expense,Software Expense
RTGS charges Rs 46440,Bank Charges,Bank Charges
Savings account interest Rs 431542,Interest Income,Interest Income
Bank loan installment Rs 131637,Loan Liability,Loan Liability
Professional consultancy fees Rs 93784,Professional Fees,Professional Fees
Business travel expense Rs 60879,Travel Expense,Travel Expense
Insurance renewal Rs 34683,Insurance Expense,Insurance Expense
TDS payment Rs 251403,TDS Payable,TDS Payable
FD interest received Rs 347199,Interest Income,Interest Income
TDS payment Rs 226085,TDS Payable,TDS Payable
Cheque book charges Rs 110720,Bank Charges,Bank Charges
TDS government payment Rs 364542,TDS Payable,TDS Payable
RTGS charges Rs 122022,Bank Charges,Bank Charges
Facebook advertisement Rs 156588,Marketing Expense,Marketing Expense
Bank interest income Rs 312865,Interest Income,Interest Income
Interest on loan Rs 127004,Loan Liability,Loan Liability
Vehicle insurance premium Rs 430701,Insurance Expense,Insurance Expense
Revenue from client Rs 134728,Sales Revenue,Sales Revenue
Health insurance premium Rs 176618,Insurance Expense,Insurance Expense
Legal advisor fees Rs 76787,Professional Fees,Professional Fees
Business loan payment Rs 480395,Loan Liability,Loan Liability
Raw material purchase Rs 228987,Purchase Expense,Purchase Expense
Bank service charges Rs 446101,Bank Charges,Bank Charges
Water bill payment Rs 440203,Utilities Expense,Utilities Expense
Tax filing charges Rs 129104,Professional Fees,Professional Fees
Uber ride Rs 481330,Travel Expense,Travel Expense
Purchase invoice received Rs 209116,Purchase Expense,Purchase Expense
Office rent payment Rs 269644,Rent Expense,Rent Expense
Utility charges Rs 267490,Utilities Expense,Utilities Expense
TDS payment Rs 440023,TDS Payable,TDS Payable
Shop rent paid Rs 320908,Rent Expense,Rent Expense
Employee bonus payment Rs 316204,Salary Expense,Salary Expense
Train ticket Rs 347454,Travel Expense,Travel Expense
Insurance expense Rs 464708,Insurance Expense,Insurance Expense
GST payment challan Rs 205026,GST Payable,GST Payable
Business loan payment Rs 22629,Loan Liability,Loan Liability
TDS government payment Rs 274878,TDS Payable,TDS Payable
Investment interest Rs 380067,Interest Income,Interest Income
Google Workspace subscription Rs 487534,Software Expense,Software Expense
Vehicle insurance premium Rs 331961,Insurance Expense,Insurance Expense
Legal advisor fees Rs 469130,Professional Fees,Professional Fees
Professional consultancy fees Rs 489827,Professional Fees,Professional Fees
Bank interest income Rs 22063,Interest Income,Interest Income
Facebook advertisement Rs 95527,Marketing Expense,Marketing Expense
Insurance renewal Rs 139129,Insurance Expense,Insurance Expense
GST deposited Rs 66518,GST Payable,GST Payable
Vehicle insurance premium Rs 201231,Insurance Expense,Insurance Expense
Flight ticket Rs 460411,Travel Expense,Travel Expense
Warehouse rent Rs 269989,Rent Expense,Rent Expense
Customer invoice generated Rs 93224,Sales Revenue,Sales Revenue
Monthly office rent Rs 162298,Rent Expense,Rent Expense
Health insurance premium Rs 124578,Insurance Expense,Insurance Expense
Interest on loan Rs 384123,Loan Liability,Loan Liability
Insurance expense Rs 159669,Insurance Expense,Insurance Expense
Flight ticket Rs 219039,Travel Expense,Travel Expense
Warehouse rent Rs 446840,Rent Expense,Rent Expense
Microsoft 365 subscription Rs 434477,Software Expense,Software Expense
Hotel accommodation Rs 183833,Travel Expense,Travel Expense
Loan EMI payment Rs 350216,Loan Liability,Loan Liability
Marketing campaign expense Rs 253025,Marketing Expense,Marketing Expense
Processing fee charged by bank Rs 170758,Bank Charges,Bank Charges
Tax filing charges Rs 359516,Professional Fees,Professional Fees
Bank interest income Rs 307239,Interest Income,Interest Income
Utility charges Rs 397385,Utilities Expense,Utilities Expense
Savings account interest Rs 396181,Interest Income,Interest Income
Audit fees Rs 133789,Professional Fees,Professional Fees
Health insurance premium Rs 168496,Insurance Expense,Insurance Expense
Vehicle insurance premium Rs 37632,Insurance Expense,Insurance Expense
Security guard salary Rs 375294,Salary Expense,Salary Expense
GST deposited Rs 227875,GST Payable,GST Payable
Inventory purchase Rs 378496,Purchase Expense,Purchase Expense
Tax filing charges Rs 381607,Professional Fees,Professional Fees
Service income received Rs 432441,Sales Revenue,Sales Revenue
TDS payment Rs 31985,TDS Payable,TDS Payable
FD interest received Rs 222701,Interest Income,Interest Income
Business travel expense Rs 30064,Travel Expense,Travel Expense
Business loan payment Rs 468038,Loan Liability,Loan Liability
Google Ads payment Rs 482136,Marketing Expense,Marketing Expense
FD interest received Rs 403199,Interest Income,Interest Income
GST monthly payment Rs 325197,GST Payable,GST Payable
Water bill payment Rs 312499,Utilities Expense,Utilities Expense
Wages paid to workers Rs 204796,Salary Expense,Salary Expense
Purchase invoice received Rs 152412,Purchase Expense,Purchase Expense
Processing fee charged by bank Rs 8036,Bank Charges,Bank Charges
Loan EMI payment Rs 150213,Loan Liability,Loan Liability
RTGS charges Rs 135103,Bank Charges,Bank Charges
Electricity bill payment Rs 498657,Utilities Expense,Utilities Expense
Building lease payment Rs 493809,Rent Expense,Rent Expense
Advertisement charges Rs 266277,Marketing Expense,Marketing Expense
GST payment challan Rs 439159,GST Payable,GST Payable
Tax filing charges Rs 30558,Professional Fees,Professional Fees
Salary paid to employee Rs 97390,Salary Expense,Salary Expense
GST tax paid Rs 39212,GST Payable,GST Payable
Wages paid to workers Rs 189383,Salary Expense,Salary Expense
Building lease payment Rs 115295,Rent Expense,Rent Expense
Interest on loan Rs 454087,Loan Liability,Loan Liability
Service income received Rs 487961,Sales Revenue,Sales Revenue
Goods purchased Rs 35103,Purchase Expense,Purchase Expense
Processing fee charged by bank Rs 222848,Bank Charges,Bank Charges
Bank service charges Rs 301589,Bank Charges,Bank Charges
GST payment challan Rs 338220,GST Payable,GST Payable
Office supplies purchase Rs 259687,Purchase Expense,Purchase Expense
Monthly TDS payment Rs 141123,TDS Payable,TDS Payable
GST liability payment Rs 251972,GST Payable,GST Payable
TDS challan Rs 367406,TDS Payable,TDS Payable
TDS deposited Rs 364244,TDS Payable,TDS Payable
Legal advisor fees Rs 450790,Professional Fees,Professional Fees
CA consultation fees Rs 374926,Professional Fees,Professional Fees
Bank interest income Rs 21553,Interest Income,Interest Income
Cheque book charges Rs 361015,Bank Charges,Bank Charges
Uber ride Rs 481809,Travel Expense,Travel Expense
Audit fees Rs 429752,Professional Fees,Professional Fees
NEFT charges Rs 469430,Bank Charges,Bank Charges
Sales receipt Rs 445848,Sales Revenue,Sales Revenue
Revenue from client Rs 82436,Sales Revenue,Sales Revenue
AWS hosting charges Rs 239856,Software Expense,Software Expense
Business travel expense Rs 405993,Travel Expense,Travel Expense
Internet bill Rs 491808,Utilities Expense,Utilities Expense
Purchase invoice received Rs 50584,Purchase Expense,Purchase Expense
GST liability payment Rs 428414,GST Payable,GST Payable
Microsoft 365 subscription Rs 432224,Software Expense,Software Expense
Service income received Rs 205863,Sales Revenue,Sales Revenue
Google Workspace subscription Rs 349948,Software Expense,Software Expense
Advertisement charges Rs 227524,Marketing Expense,Marketing Expense
TDS government payment Rs 43761,TDS Payable,TDS Payable
Cheque book charges Rs 493969,Bank Charges,Bank Charges
Office supplies purchase Rs 204467,Purchase Expense,Purchase Expense
Service income received Rs 269364,Sales Revenue,Sales Revenue
Vehicle insurance premium Rs 201974,Insurance Expense,Insurance Expense
Savings account interest Rs 29580,Interest Income,Interest Income
Flight ticket Rs 180693,Travel Expense,Travel Expense
Promotional expense Rs 370808,Marketing Expense,Marketing Expense
Loan repayment Rs 404952,Loan Liability,Loan Liability
Telephone expense Rs 406399,Utilities Expense,Utilities Expense
Google Workspace subscription Rs 479243,Software Expense,Software Expense
Product sale Rs 424832,Sales Revenue,Sales Revenue
GST tax paid Rs 262999,GST Payable,GST Payable
Legal advisor fees Rs 122723,Professional Fees,Professional Fees
Shop rent paid Rs 239862,Rent Expense,Rent Expense
Revenue from client Rs 3935,Sales Revenue,Sales Revenue
Facebook advertisement Rs 471796,Marketing Expense,Marketing Expense
Customer invoice generated Rs 390804,Sales Revenue,Sales Revenue
Water bill payment Rs 108955,Utilities Expense,Utilities Expense
Office rent payment Rs 403195,Rent Expense,Rent Expense
AWS hosting charges Rs 373433,Software Expense,Software Expense
Health insurance premium Rs 478521,Insurance Expense,Insurance Expense
TDS government payment Rs 436171,TDS Payable,TDS Payable
Wages paid to workers Rs 103516,Salary Expense,Salary Expense
Bank interest income Rs 386021,Interest Income,Interest Income
Monthly office rent Rs 241758,Rent Expense,Rent Expense
Tax filing charges Rs 6610,Professional Fees,Professional Fees
Utility charges Rs 32832,Utilities Expense,Utilities Expense
Security guard salary Rs 293077,Salary Expense,Salary Expense
Sales receipt Rs 493846,Sales Revenue,Sales Revenue
Bank service charges Rs 56358,Bank Charges,Bank Charges
Telephone expense Rs 418548,Utilities Expense,Utilities Expense
RTGS charges Rs 286834,Bank Charges,Bank Charges
Google Ads payment Rs 15106,Marketing Expense,Marketing Expense
Legal advisor fees Rs 350899,Professional Fees,Professional Fees
GST deposited Rs 199379,GST Payable,GST Payable
Salary paid to employee Rs 413628,Salary Expense,Salary Expense
Salary paid to employee Rs 279815,Salary Expense,Salary Expense
TDS payment Rs 477076,TDS Payable,TDS Payable
Tax filing charges Rs 442293,Professional Fees,Professional Fees
TDS deposited Rs 182545,TDS Payable,TDS Payable
Telephone expense Rs 146758,Utilities Expense,Utilities Expense
Employee bonus payment Rs 196549,Salary Expense,Salary Expense
TDS challan Rs 48800,TDS Payable,TDS Payable
Product sale Rs 119525,Sales Revenue,Sales Revenue
